osmid,u,v,length,speed_kph,travel_time
180061361,1929705749,1929705800,157.4779167373315,60.0,9.44867500423989
223469930,1929705749,1929705800,158.40464848195688,60.0,9.504278908917412
182611198,1929705749,1929705765,43.486229037478864,60.0,2.6091737422487316
182611170,1929705765,2278746428,77.20022416886724,60.0,4.632013450132034
223469920,1929705765,1929705736,102.7373028107211,60.0,6.164238168643266
759647076,1929705800,2503411593,34.94791946550096,60.0,2.0968751679300572
307820381,1929705820,2503411593,10.901983678447028,60.0,0.6541190207068216
"[290481976, 308301806]",1929705820,1929705765,151.54126838538895,60.0,9.092476103123337
769637493,1929705823,1929705820,7.501463982861504,60.0,0.45008783897169025
"[1451111914, 307820380]",1929705823,2338866996,381.1437083952627,60.0,22.86862250371576
182620195,1929818861,1929818866,109.72361685158764,60.0,6.583417011095258
318767356,1929818861,1533334334,114.22090568687314,60.0,6.853254341212388
"[182620190, 906611874, 1149517518, 1149517519]",1929818866,1929818898,520.4344982658347,50.0,37.471283875140095
182620192,1929818871,1533334337,134.29652406582778,60.0,8.057791443949666
307347257,1929818871,13190327332,19.203019787430794,60.0,1.1521811872458476
"[1205463557, 1217114172, 386733917, 386733918]",1929818898,1929818913,245.01365196462226,50.0,17.6409829414528
771578784,1929818899,1929818898,7.489399792348434,60.0,0.449363987540906
"[159348601, 770664018, 1149517516, 1149517517]",1929818899,1929818871,534.6087159845673,50.0,38.49182755088884
906611866,1929818913,3410641944,6.937947016990819,60.0,0.41627682101944913
1039039338,1929818913,11599200579,53.789995482779794,60.0,3.2273997289667875
"[159262212, 1205463558]",1929818913,1713560150,263.6830522551067,50.0,18.985179762367682
"[221054014, 264454721, 105264302]",1929825683,1713560206,82.1219894781347,60.0,4.927319368688082
"[264454367, 182620959]",1929825683,314931,78.59625351698287,60.0,4.715775211018972
31398866,1929828020,5272308877,172.7790639676221,60.0,10.366743838057326
"[183750976, 31380868, 298641272]",1933747351,1832461472,273.1105749811708,60.0,16.386634498870247
183793919,1933747351,378032619,63.22905528902092,60.0,3.793743317341255
1119809911,1933747351,10118253746,12.240070138977986,60.0,0.7344042083386791
"[484958272, 194972644, 1496967485, 1496967486]",1933747356,1933747556,324.4048713518596,60.0,19.464292281111575
1105721811,1933747356,1933747351,13.421728328953987,60.0,0.8053036997372391
183009510,1933747556,1933747561,9.169072802348037,60.0,0.5501443681408822
"[309694990, 183009511]",1933747556,1207746813,536.7771634772718,60.0,32.2066298086363
183009511,1933747558,1933747556,11.55328129186647,60.0,0.6931968775119882
"[427378960, 427378961, 172365161]",1933747558,243896978,504.8260477185122,60.0,30.28956286311073
"[183009513, 484958268]",1933747558,1933747351,330.893425755754,60.0,19.85360554534524
762293085,1933747561,1933747558,14.311694754082065,60.0,0.8587016852449239
183009510,1933747561,11592562372,259.5955427433493,60.0,15.575732564600958
1246957238,1933747634,11592562372,7.776604956827983,60.0,0.46659629740967895
"[1183372900, 183009508, 1183372901, 1248903794, 335238550, 1221860409]",1933747634,243896978,729.6873068038545,60.0,43.78123840823127
1117140916,1933747634,1933747558,271.38269251151894,60.0,16.282961550691134
225079676,1933747650,332345,17.104034061676035,60.0,1.0262420437005622
183009569,1933747650,1571692063,18.508195429180432,60.0,1.1104917257508258
1117134268,1933747652,1933747672,15.984639830448534,60.0,0.959078389826912
"[1340721232, 1340721233, 1117134267, 1340721231]",1933747652,12401767847,197.86094971059754,60.0,11.871656982635852
1117134265,1933747672,8375859795,10.424313730899664,60.0,0.6254588238539798
1117134264,1933747672,1933747761,167.171215113651,60.0,10.030272906819059
172365470,1933747674,8375859795,64.3610036121057,60.0,3.861660216726342
241494558,1933747709,1933747718,16.407819849650075,60.0,0.9844691909790044
